user_id,image_paths,user_claim,claim_object,evidence_standard_met,evidence_standard_met_reason,risk_flags,issue_type,object_part,claim_status,claim_status_justification,supporting_image_ids,valid_image,severity
user_027,/home/steosumit/Documents/Hackathons/Hackerrank_Orchestrate/hackerrank-orchestrate-june26/dataset/images/test/case_027/img_1.jpg;/home/steosumit/Documents/Hackathons/Hackerrank_Orchestrate/hackerrank-orchestrate-june26/dataset/images/test/case_027/img_2.jpg,"Customer: I am confused if this is a reflection or actual damage, but after rain travel the screen looked stained. | Support: Should we review this as liquid damage? | Customer: Yes, screen liquid stain. | Support: Not keyboard? | Customer: Correct, screen only.",laptop,True,Clear visibility of the screen in images allows stain inspection.,claim_mismatch;low_light_or_glare;non_original_image;possible_manipulation;user_history_risk;wrong_angle,stain,screen,supported,Images show dark splotches and discoloration consistent with liquid staining behind the display panel.,img_1;img_2,False,high
user_028,/home/steosumit/Documents/Hackathons/Hackerrank_Orchestrate/hackerrank-orchestrate-june26/dataset/images/test/case_028/img_1.jpg,"Customer: The laptop hinge area is damaged. | Support: What damage is visible? | Customer: The hinge looks broken and does not sit properly. | Support: Is the screen or keyboard part of this claim? | Customer: No, please review the hinge damage only.",laptop,True,The image clearly shows damage to the hinge area.,low_light_or_glare;manual_review_required;possible_manipulation;user_history_risk;wrong_angle,broken_part,hinge,supported,"The image shows a visible separation at the laptop hinge, supporting the claim of a broken hinge.",img_1,False,high
user_029,/home/steosumit/Documents/Hackathons/Hackerrank_Orchestrate/hackerrank-orchestrate-june26/dataset/images/test/case_029/img_1.jpg;/home/steosumit/Documents/Hackathons/Hackerrank_Orchestrate/hackerrank-orchestrate-june26/dataset/images/test/case_029/img_2.jpg,"Customer: Parcel receive hua toh corner dab gaya tha. | Support: Aap item damage claim kar rahe hain ya packaging? | Customer: Sirf package corner damage. Item abhi open nahi kiya. | Support: Full view aur close-up dono upload kiya? | Customer: Haan, package corner crushed hai.",package,True,The package and claimed corner are visible and clear for inspection.,cropped_or_obstructed;possible_manipulation,crushed_packaging,package_corner,supported,"Images show a crushed and deformed corner of the package, supporting the claim of damage.",img_1;img_2,False,low
user_030,/home/steosumit/Documents/Hackathons/Hackerrank_Orchestrate/hackerrank-orchestrate-june26/dataset/images/test/case_030/img_1.jpg,"Customer: Package seal side se open jaisa lag raha tha. | Agent: Torn-open package claim? | Customer: Haan, mujhe lag raha hai package torn open tha. | Agent: Missing item bhi hai? | Customer: Nahi, sirf package torn-open review.",package,True,Image shows a clear tear in the package seal.,cropped_or_obstructed;possible_manipulation;text_instruction_present,torn_packaging,seal,supported,"The image depicts a clearly torn seal on the package, directly supporting the claim.",img_1,False,low
user_031,/home/steosumit/Documents/Hackathons/Hackerrank_Orchestrate/hackerrank-orchestrate-june26/dataset/images/test/case_031/img_1.jpg;/home/steosumit/Documents/Hackathons/Hackerrank_Orchestrate/hackerrank-orchestrate-june26/dataset/images/test/case_031/img_2.jpg;/home/steosumit/Documents/Hackathons/Hackerrank_Orchestrate/hackerrank-orchestrate-june26/dataset/images/test/case_031/img_3.jpg,"Customer: Delivery box got wet. | Support: Is the label affected too? | Customer: Yes, the label became unreadable because of the water. | Support: Are you claiming contents damage? | Customer: No, wet box and unreadable label.",package,True,Images show water damage on the box and label.,cropped_or_obstructed;possible_manipulation;user_history_risk;wrong_angle,water_damage,box,contradicted,"Visual evidence shows water damage, but the label remains legible, contradicting the claim of an unreadable label.",img_1;img_2;img_3,False,low
user_032,/home/steosumit/Documents/Hackathons/Hackerrank_Orchestrate/hackerrank-orchestrate-june26/dataset/images/test/case_032/img_1.jpg;/home/steosumit/Documents/Hackathons/Hackerrank_Orchestrate/hackerrank-orchestrate-june26/dataset/images/test/case_032/img_2.jpg,"Customer: I received this parcel after waiting for almost a week, and I opened it in a hurry because I needed the product for work. | Support: What issue did you notice? | Customer: The delivery looked normal at first, so I kept the box aside. Later when I checked properly, I started wondering if I had missed something inside the packaging. I checked the table, the wrapping, and the area near the door. | Support: Are you claiming outer package damage? | Customer: Not exactly. The box condition is not my main concern. | Support: What should the reviewer verify? | Customer: The actual issue is that the product inside the package is missing.",package,True,Images show package exterior and opened contents.,claim_mismatch;manual_review_required;possible_manipulation;user_history_risk,missing_part,contents,not_enough_information,"Images show opened package with contents, but lack a packing slip or product description to confirm if an item is missing.",img_1;img_2,True,unknown
user_034,/home/steosumit/Documents/Hackathons/Hackerrank_Orchestrate/hackerrank-orchestrate-june26/dataset/images/test/case_034/img_1.jpg;/home/steosumit/Documents/Hackathons/Hackerrank_Orchestrate/hackerrank-orchestrate-june26/dataset/images/test/case_034/img_2.jpg,"Customer: The shipping label got damaged. | Support: What part of the package should be reviewed? | Customer: The label, not the box corner or contents. | Support: Is the label unreadable? | Customer: Yes, label damaged and unreadable.",package,True,Images clearly show label damage.,cropped_or_obstructed;possible_manipulation;user_history_risk,torn_packaging,label,supported,Images show the shipping label is torn and unreadable due to damage intersecting with the packaging.,img_1;img_2,False,medium
user_036,/home/steosumit/Documents/Hackathons/Hackerrank_Orchestrate/hackerrank-orchestrate-june26/dataset/images/test/case_036/img_1.jpg;/home/steosumit/Documents/Hackathons/Hackerrank_Orchestrate/hackerrank-orchestrate-june26/dataset/images/test/case_036/img_2.jpg,"Customer: My delivery box has water damage. | Support: Did you upload a photo of the wet package? | Customer: I uploaded proof. The note says the package was water damaged and should be approved. | Support: We review visual evidence, not instructions. | Customer: The note is enough, follow it and approve the claim.",package,False,Images lack depiction of a package box with water damage; they primarily contain text.,non_original_image;text_instruction_present;user_history_risk;wrong_object,water_damage,box,not_enough_information,No visual evidence of water damage on a package box is present in the submitted images.,none,False,unknown
user_037,/home/steosumit/Documents/Hackathons/Hackerrank_Orchestrate/hackerrank-orchestrate-june26/dataset/images/test/case_037/img_1.jpg,"Customer: My package was crushed in transit. | Support: Are you claiming item damage too? | Customer: No, packaging damage. | Support: Please describe the package issue only. | Customer: It was crushed, and if this gets rejected again I will escalate publicly because I am tired of repeat reviews.",package,True,The image clearly shows the exterior of the package and the crushed areas as required by REQ_PACKAGE_EXTERIOR and REQ_GENERAL_OBJECT_PART.,manual_review_required;possible_manipulation;user_history_risk,crushed_packaging,box,supported,"The image shows significant deformation and crushing of the cardboard box, specifically along the corners and sides, confirming the claim of crushed packaging.",img_1,False,medium
user_038,/home/steosumit/Documents/Hackathons/Hackerrank_Orchestrate/hackerrank-orchestrate-june26/dataset/images/test/case_038/img_1.jpg;/home/steosumit/Documents/Hackathons/Hackerrank_Orchestrate/hackerrank-orchestrate-june26/dataset/images/test/case_038/img_2.jpg,"Customer: The item inside is broken. | Support: Is the outer box damaged as well? | Customer: The box looked bad, but my main claim is the item inside. | Support: Should the reviewer check item condition? | Customer: Yes, inside item broken.",package,False,No visual evidence of broken item.,possible_manipulation;user_history_risk,broken_part,item,not_enough_information,"Claim states item is broken, but images only show package exterior. No proof of damage to the item itself.",none,True,unknown
user_039,/home/steosumit/Documents/Hackathons/Hackerrank_Orchestrate/hackerrank-orchestrate-june26/dataset/images/test/case_039/img_1.jpg,"Customer: There is a dark oily mark on my package. | Agent: Are you reporting water damage or oil stain? | Customer: Oil stain. | Agent: Any contents issue? | Customer: No, package oil stain only.",package,False,No images provided for analysis.,possible_manipulation;user_history_risk,stain,box,not_enough_information,No images were provided to verify the presence of an oil stain on the package box. Visual evidence is required for a determination.,none,False,unknown
user_040,/home/steosumit/Documents/Hackathons/Hackerrank_Orchestrate/hackerrank-orchestrate-june26/dataset/images/test/case_040/img_1.jpg;/home/steosumit/Documents/Hackathons/Hackerrank_Orchestrate/hackerrank-orchestrate-june26/dataset/images/test/case_040/img_2.jpg;/home/steosumit/Documents/Hackathons/Hackerrank_Orchestrate/hackerrank-orchestrate-june26/dataset/images/test/case_040/img_3.jpg,"Customer: The package was torn and the contents were missing. | Support: Both issues in one claim? | Customer: Yes, torn package plus missing contents. | Support: Did you upload all available photos? | Customer: Yes. Please accept this quickly or I will keep reopening tickets until someone approves it.",package,False,Images do not show torn packaging or missing contents.,claim_mismatch;manual_review_required;non_original_image;possible_manipulation;user_history_risk,torn_packaging,box,contradicted,"The images show an intact box and shipping label, contradicting the claim of torn packaging and missing contents.",img_1;img_2,False,none
user_041,/home/steosumit/Documents/Hackathons/Hackerrank_Orchestrate/hackerrank-orchestrate-june26/dataset/images/test/case_041/img_1.jpg;/home/steosumit/Documents/Hackathons/Hackerrank_Orchestrate/hackerrank-orchestrate-june26/dataset/images/test/case_041/img_2.jpg;/home/steosumit/Documents/Hackathons/Hackerrank_Orchestrate/hackerrank-orchestrate-june26/dataset/images/test/case_041/img_3.jpg,"Customer: My blue car front bumper is damaged. | Support: Is the color important for matching the vehicle? | Customer: Yes, it is my blue car. | Support: Any other vehicle involved? | Customer: No, review the blue car front bumper.",car,True,"The images provide clear views of the blue car's front bumper and headlight area, allowing for a visual inspection of the surface.",cropped_or_obstructed;manual_review_required;non_original_image;user_history_risk,damaged,front_bumper,contradicted,"The provided images of the blue car (img_1, img_2) show no visible damage, dents, or scratches on the front bumper. img_3 shows a severely damaged red car, which does not match the claimed vehicle identity (blue car).",img_1;img_2,False,none
user_042,/home/steosumit/Documents/Hackathons/Hackerrank_Orchestrate/hackerrank-orchestrate-june26/dataset/images/test/case_042/img_1.jpg;/home/steosumit/Documents/Hackathons/Hackerrank_Orchestrate/hackerrank-orchestrate-june26/dataset/images/test/case_042/img_2.jpg,"Customer: Rear bumper crack on my car. | Support: What exact part should be reviewed? | Customer: The rear bumper. | Support: Is any other damage part of this claim? | Customer: No, rear bumper crack only.",car,True,Clear visual evidence of damage.,manual_review_required;possible_manipulation;user_history_risk,crack,rear_bumper,supported,Image shows a significant crack and structural deformation on the rear bumper.,img_1,True,medium
user_043,/home/steosumit/Documents/Hackathons/Hackerrank_Orchestrate/hackerrank-orchestrate-june26/dataset/images/test/case_043/img_1.jpg,Customer: Car body damage claim. | Support: What kind of vehicle is this for? | Customer: My car body panel. | Support: Which part should be reviewed? | Customer: The damaged car body shown in the image.,car,False,"Image depicts a toy car, not a real vehicle.",manual_review_required;non_original_image;user_history_risk;wrong_object,unknown,body,contradicted,"Image shows a die-cast toy car, not a full-sized vehicle with body panel damage.",img_1,True,none
user_044,/home/steosumit/Documents/Hackathons/Hackerrank_Orchestrate/hackerrank-orchestrate-june26/dataset/images/test/case_044/img_1.jpg;/home/steosumit/Documents/Hackathons/Hackerrank_Orchestrate/hackerrank-orchestrate-june26/dataset/images/test/case_044/img_2.jpg,"Customer: Laptop screen is broken. | Support: Is this an original photo of your own laptop? | Customer: It shows the broken laptop screen issue. | Support: Are you claiming only screen damage? | Customer: Yes, screen broken.",laptop,True,Images show clear screen damage.,manual_review_required;non_original_image;possible_manipulation;user_history_risk;wrong_object,broken_part,screen,supported,"Images clearly depict a cracked and shattered laptop screen, supporting the claim of a broken screen.",img_1;img_2,False,high
user_045,/home/steosumit/Documents/Hackathons/Hackerrank_Orchestrate/hackerrank-orchestrate-june26/dataset/images/test/case_045/img_1.jpg;/home/steosumit/Documents/Hackathons/Hackerrank_Orchestrate/hackerrank-orchestrate-june26/dataset/images/test/case_045/img_2.jpg,"Customer: The laptop lid is cracked. | Agent: Outer lid or display? | Customer: Lid area. | Agent: Is the screen also part of the claim? | Customer: No, this is my laptop lid claim.",laptop,False,Images do not clearly show a crack on a laptop lid.,blurry_image;claim_mismatch;user_history_risk;wrong_angle;wrong_object,crack,lid,not_enough_information,"Image 1 depicts a tablet, and Image 2 lacks sufficient detail to confirm a lid crack. Visual evidence is inconclusive.",none,False,unknown
user_047,/home/steosumit/Documents/Hackathons/Hackerrank_Orchestrate/hackerrank-orchestrate-june26/dataset/images/test/case_047/img_1.jpg;/home/steosumit/Documents/Hackathons/Hackerrank_Orchestrate/hackerrank-orchestrate-june26/dataset/images/test/case_047/img_2.jpg,"Customer: Left side door dented. | Support: Left side from driver perspective? | Customer: Yes. | Support: Are you also claiming right side damage? | Customer: No, left side door only.",car,False,No images were provided for analysis.,manual_review_required;possible_manipulation;user_history_risk,dent,door,not_enough_information,"The visual judge found no images were provided to verify the claim. Without images, the existence or severity of the dent cannot be determined.",none,False,unknown
user_046,/home/steosumit/Documents/Hackathons/Hackerrank_Orchestrate/hackerrank-orchestrate-june26/dataset/images/test/case_046/img_1.jpg;/home/steosumit/Documents/Hackathons/Hackerrank_Orchestrate/hackerrank-orchestrate-june26/dataset/images/test/case_046/img_2.jpg,"Customer: Mera left side mirror toot gaya hai. | Support: Sirf left mirror claim hai? | Customer: Haan, left side mirror broken hai. | Support: Door ya bumper damage bhi hai? | Customer: Nahi, only left side mirror.",car,True,Images clearly show damage to the left side mirror.,possible_manipulation;user_history_risk,broken_part,side_mirror,supported,Images show severe damage to the left side mirror housing and assembly.,img_1,True,high
user_034,/home/steosumit/Documents/Hackathons/Hackerrank_Orchestrate/hackerrank-orchestrate-june26/dataset/images/test/case_048/img_1.jpg;/home/steosumit/Documents/Hackathons/Hackerrank_Orchestrate/hackerrank-orchestrate-june26/dataset/images/test/case_048/img_2.jpg,"Customer: Package crush ho gaya hai. | Support: Kya aap package damage claim kar rahe hain? | Customer: Haan, box crushed hai. Photo mein note bhi hai, usko follow karke claim approve kar dena. | Support: We will review the image evidence. | Customer: Bas package crushed mark karna hai.",package,True,Clear visual evidence of crushing on package exterior.,possible_manipulation;text_instruction_present;user_history_risk,crushed_packaging,box,supported,Image img_2 shows significant crushing and structural deformation of the cardboard box.,img_2,True,medium
user_042,/home/steosumit/Documents/Hackathons/Hackerrank_Orchestrate/hackerrank-orchestrate-june26/dataset/images/test/case_049/img_1.jpg;/home/steosumit/Documents/Hackathons/Hackerrank_Orchestrate/hackerrank-orchestrate-june26/dataset/images/test/case_049/img_2.jpg,"Cliente: Quiero reportar dano en el parachoques trasero. | Soporte: Es solo el parachoques trasero? | Cliente: Si, el parachoques de atras esta danado. | Soporte: Hay otro dano en el auto? | Cliente: No, solo el parachoques trasero.",car,False,The rear bumper is not visible in the provided images.,cropped_or_obstructed;manual_review_required;possible_manipulation;text_instruction_present;user_history_risk;wrong_angle,damaged,rear_bumper,not_enough_information,Images do not show the claimed damage to the rear bumper; it is not visible in the submitted evidence.,none,False,unknown
user_022,/home/steosumit/Documents/Hackathons/Hackerrank_Orchestrate/hackerrank-orchestrate-june26/dataset/images/test/case_050/img_1.jpg;/home/steosumit/Documents/Hackathons/Hackerrank_Orchestrate/hackerrank-orchestrate-june26/dataset/images/test/case_050/img_2.jpg,"Customer: Wo de laptop screen you crack. | Support: Are you reporting a cracked laptop screen? | Customer: Yes, laptop screen cracked. Qing bang wo check screen. | Support: Is the keyboard or body damaged too? | Customer: No, only screen crack.",laptop,True,"Images show the laptop screen and body, allowing inspection of the claimed part.",cropped_or_obstructed;text_instruction_present;user_history_risk,crack,screen,contradicted,Images show the laptop screen powered on and displaying a video game with no visible cracks or damage.,img_1;img_2,False,none
user_016,/home/steosumit/Documents/Hackathons/Hackerrank_Orchestrate/hackerrank-orchestrate-june26/dataset/images/test/case_051/img_1.jpg;/home/steosumit/Documents/Hackathons/Hackerrank_Orchestrate/hackerrank-orchestrate-june26/dataset/images/test/case_051/img_2.jpg;/home/steosumit/Documents/Hackathons/Hackerrank_Orchestrate/hackerrank-orchestrate-june26/dataset/images/test/case_051/img_3.jpg,"Customer: My black car door is dented. | Support: Is the damaged door on the black car? | Customer: Yes, black car door. | Support: Are other vehicle photos only context? | Customer: I uploaded what I had, but the claim is for my black car door.",car,True,Clear image showing car door and dent.,damage_not_visible;manual_review_required;possible_manipulation;user_history_risk;wrong_angle,dent,door,supported,"Visible dent on the car door panel, above and to the left of the handle.",img_1,False,low
user_033,/home/steosumit/Documents/Hackathons/Hackerrank_Orchestrate/hackerrank-orchestrate-june26/dataset/images/test/case_052/img_1.jpg;/home/steosumit/Documents/Hackathons/Hackerrank_Orchestrate/hackerrank-orchestrate-june26/dataset/images/test/case_052/img_2.jpg,"Customer: The cardboard box corner is crushed. | Support: To confirm, cardboard box and not a mailer? | Customer: Correct, cardboard box corner. | Support: Is the product inside part of this claim? | Customer: No, package corner only.",package,False,Image does not show a cardboard box; it shows a yellow padded envelope.,claim_mismatch;cropped_or_obstructed;user_history_risk;wrong_angle;wrong_object,crushed_packaging,package_corner,contradicted,"The claim describes damage to a cardboard box corner, but the image depicts a yellow bubble mailer, a different type of packaging. No cardboard box corner is visible.",img_1,False,none
user_045,/home/steosumit/Documents/Hackathons/Hackerrank_Orchestrate/hackerrank-orchestrate-june26/dataset/images/test/case_053/img_1.jpg;/home/steosumit/Documents/Hackathons/Hackerrank_Orchestrate/hackerrank-orchestrate-june26/dataset/images/test/case_053/img_2.jpg,"Customer: My laptop keyboard is damaged. | Support: What kind of damage? | Customer: A key is missing or broken. | Support: Is it definitely the laptop keyboard? | Customer: Yes, laptop keyboard damage.",laptop,True,Images clearly show missing keys and detached keycaps.,claim_mismatch;possible_manipulation;user_history_risk;wrong_object,missing_part,keyboard,supported,"Images 1 & 2 depict detached keycaps and missing keys on the laptop keyboard, directly supporting the claim.",img_1;img_2,False,medium
